section_number,section_name,distance_miles,walk_name,walk_website
1,Woolwich to Falconwood,7.2,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
2,Falconwood to Grove Park,4.4,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
3,Grove Park to Crystal Palace,7.8,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
4,Crystal Palace to Streatham,4.4,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
5,Streatham to Wimbledon Park,5.7,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
6,Wimbledon Park to Richmond,7.3,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
7,Richmond to Osterley Lock,4.8,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
8,Osterley Lock to Greenford,5.5,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
9,Greenford to South Kenton,5.6,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
10,South Kenton to Hendon Park,7,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
11,Hendon Park to Highgate,5.6,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
12,Highgate to Stoke Newington,5.6,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
13,Stoke Newington to Hackney Wick,4,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
14,Hackney Wick to Beckton District Park,5.2,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
15,Beckton District Park to Woolwich,4.4,Capital Ring,https://www.innerlondonramblers.org.uk/ideasforwalks/capital-ring-guides.html
